id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,Private room in Lower East Side,1000,Anthony,Manhattan,Lower East Side,40.767329,-73.969535,Private room,107,1,28,2024-08-31,28.0,1,304
2,Private room in Upper West Side,1001,Samantha,Manhattan,Upper West Side,40.736837,-74.013238,Private room,101,7,25,2024-08-16,25.0,1,152
3,Entire home/apt in Battery Park,1002,Stephanie,Manhattan,Battery Park,40.748755,-73.995581,Entire home/apt,145,3,67,2024-08-30,67.0,2,267
4,Entire home/apt in Lower East Side,1002,Stephanie,Manhattan,Lower East Side,40.732974,-74.011638,Entire home/apt,283,5,29,2024-05-26,8.88,2,323
5,Entire home/apt in Tribeca,1003,Angela,Manhattan,Tribeca,40.740754,-73.970767,Entire home/apt,59,3,3,2024-07-30,2.73,1,115
6,Private room in Upper West Side,1004,Christopher,Manhattan,Upper West Side,40.774557,-73.989196,Private room,93,2,28,2024-08-18,28.0,2,71
7,Entire home/apt in Harlem,1004,Christopher,Manhattan,Harlem,40.717341,-73.98942,Entire home/apt,74,3,5,2024-06-22,2.11,2,61
8,Entire home/apt in Greenwich Village,1005,Nicole,Manhattan,Greenwich Village,40.707972,-73.978218,Entire home/apt,227,1,7,2024-07-27,5.83,1,241
9,Entire home/apt in Upper West Side,1006,Daniel,Manhattan,Upper West Side,40.727652,-74.008455,Entire home/apt,276,1,1,2024-08-17,1.0,1,196
10,Private room in Upper West Side,1007,Amanda,Manhattan,Upper West Side,40.740546,-73.964518,Private room,120,1,20,2024-08-09,20.0,1,306
11,Private room in Greenwich Village,1008,Cynthia,Manhattan,Greenwich Village,40.743392,-74.002831,Private room,136,30,74,2024-08-14,74.0,30,243
12,Private room in Upper East Side,1008,Cynthia,Manhattan,Upper East Side,40.763542,-74.030407,Private room,128,1,14,2024-05-14,3.82,30,18
13,Entire home/apt in Battery Park,1008,Cynthia,Manhattan,Battery Park,40.779142,-73.996488,Entire home/apt,15,2,4,2024-08-05,4.0,30,363
14,Private room in Harlem,1008,Cynthia,Manhattan,Harlem,40.690055,-73.979128,Private room,74,2,4,2024-08-23,4.0,30,165
15,Entire home/apt in Greenwich Village,1008,Cynthia,Manhattan,Greenwich Village,40.709962,-73.97456,Entire home/apt,275,2,17,2024-08-15,17.0,30,248
16,Entire home/apt in Upper East Side,1008,Cynthia,Manhattan,Upper East Side,40.745621,-74.001419,Entire home/apt,274,2,16,2024-06-21,6.67,30,62
17,Entire home/apt in Harlem,1008,Cynthia,Manhattan,Harlem,40.750435,-73.987743,Entire home/apt,265,2,27,2024-07-21,19.29,30,23
18,Entire home/apt in Upper East Side,1008,Cynthia,Manhattan,Upper East Side,40.754056,-73.963305,Entire home/apt,349,1,18,2024-08-30,18.0,30,28
19,Entire home/apt in Chelsea,1008,Cynthia,Manhattan,Chelsea,40.744766,-73.948119,Entire home/apt,175,5,3,2024-08-22,3.0,30,324
20,Entire home/apt in Lower East Side,1008,Cynthia,Manhattan,Lower East Side,40.744205,-73.961982,Entire home/apt,291,2,15,2024-06-19,6.08,30,132
21,Entire home/apt in Lower East Side,1008,Cynthia,Manhattan,Lower East Side,40.754568,-73.968772,Entire home/apt,187,1,0,,0.0,30,151
22,Entire home/apt in Tribeca,1008,Cynthia,Manhattan,Tribeca,40.780941,-73.968992,Entire home/apt,276,1,8,2024-07-06,4.21,30,359
23,Entire home/apt in Lower East Side,1008,Cynthia,Manhattan,Lower East Side,40.753406,-73.911517,Entire home/apt,199,1,7,2024-06-20,2.88,30,262
24,Private room in Chelsea,1008,Cynthia,Manhattan,Chelsea,40.785898,-74.003527,Private room,93,1,15,2024-07-20,10.47,30,164
25,Entire home/apt in Upper West Side,1008,Cynthia,Manhattan,Upper West Side,40.774351,-73.963428,Entire home/apt,257,3,1,2024-07-10,0.57,30,56
26,Entire home/apt in Tribeca,1008,Cynthia,Manhattan,Tribeca,40.763631,-73.951952,Entire home/apt,495,3,0,,0.0,30,125
27,Private room in Greenwich Village,1008,Cynthia,Manhattan,Greenwich Village,40.781926,-74.018165,Private room,56,2,30,2024-08-24,30.0,30,81
28,Entire home/apt in Midtown,1008,Cynthia,Manhattan,Midtown,40.750537,-73.921905,Entire home/apt,282,7,14,2024-08-15,14.0,30,10
29,Entire home/apt in Battery Park,1008,Cynthia,Manhattan,Battery Park,40.754684,-74.021611,Entire home/apt,251,1,8,2024-06-17,3.16,30,164
30,Private room in Greenwich Village,1008,Cynthia,Manhattan,Greenwich Village,40.808601,-73.966856,Private room,88,3,35,2024-08-27,35.0,30,356
